opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:5239","financing_cash_flow","electric_usage_reduction|hvac_electric_efficiency|motor_vfd_efficiency|controls_building_automation","bill_savings|financing","mixed","none|electric","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charges|demand_charge_rate|annual_therms|time_of_use_periods","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:22328","fleet_fuel_replacement","ev_charging_site_load","bill_savings|upfront_cost_reduction","residential_only","fuel|electric","annual_gallons|annual_fuel_cost|average_cost_per_gallon|vehicle_count","estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh|peak_kw|demand_charge_rate|time_of_use_periods","vehicle_count","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:3821","electric_usage_reduction","project_cost_reduction_only","bill_savings|upfront_cost_reduction","residential_only","electric|none","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|contractor_quote_amount|quote_date","equipment_category","per_unit","cost_per_unit","needs_bill","low","true"
"SOURCE_DSIRE:dsire_program_id:5215","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:3136","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","agriculture_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:22805","financing_cash_flow","electric_usage_reduction|hvac_electric_efficiency|motor_vfd_efficiency","bill_savings|financing","residential_only","none|electric","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charges|demand_charge_rate","equipment_category","financing","contractor_quote_required","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:4300","whole_building_custom_efficiency","electric_usage_reduction|hvac_electric_efficiency|gas_usage_reduction|controls_building_automation|battery_tou_demand_savings|water_sewer_reduction","bill_savings|upfront_cost_reduction","residential_only","electric|gas|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|peak_kw|demand_charge_rate|square_footage|monthly_kwh|rate_schedule|delivery_charges|generation_charges|demand_charges|monthly_therms|gas_rate_schedule|time_of_use_periods|annual_kwh|monthly_peak_kw|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","project_cost_estimate|equipment_category","per_kwh_saved","benchmark_range","needs_bill","low","true"
"SOURCE_DSIRE:dsire_program_id:22551","project_cost_reduction_only","","upfront_cost_reduction","residential_only","none","project_cost_estimate","contractor_quote_amount|quote_date","equipment_category","per_unit","benchmark_range","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:5313","financing_cash_flow","","financing","business_relevant","none","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:22643","grant_funding","ev_charging_site_load","bill_savings|upfront_cost_reduction","unknown","none|electric","project_cost_estimate","contractor_quote_amount|peak_kw|demand_charge_rate|time_of_use_periods","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","low","true"
